timestamp,Heidelberg,Bamberg,Eberbach
2023-03-04 17:03:46.724762,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 17:04:19.451539,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 17:05:10.736582,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 17:05:34.359046,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 17:06:05.644577,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 17:07:09.257460,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 17:08:43.928524,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 17:09:52.127302,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 17:10:59.924880,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 17:13:28.623690,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 20:04:39.093996,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 20:04:54.927206,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-04 20:06:11.910186,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-05 15:55:43.982473,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-05 15:56:02.500848,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 13:46:08.679559,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-06 13:46:31.876240,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-06 13:47:36.904968,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-06 13:48:00.181579,"('stagnierend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-06 13:58:08.870687,"('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-06 13:58:32.751737,"('stagnierend', 'keine vorhanden')","('stagnierend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')"
2023-03-06 14:00:29.783401,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 14:02:48.442752,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 14:04:46.940775,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 14:10:50.634963,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 14:12:25.042753,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 14:20:51.874610,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 14:21:14.259087,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 14:23:20.727455,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 14:24:25.052667,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
